date,time,type,instructor,period_price,studio,location
"Monday, December 1st, 2025",6:10PMPS,BEG. Choreography (Ages 13+),Alyssa Corpuz,80 min @ $18.75,On One,
"Monday, December 1st, 2025",6:10PMPS,INT. Choreography (Ages 13+),Alee Martinez,80 min @ $18.75,On One,
"Monday, December 1st, 2025",7:35PMPS,ADV. Choreography (Ages 13+),Tad Racca,80 min @ $18.75,On One,
"Monday, December 1st, 2025",7:35PMPS,BEG/INT Heels (Age 18+),Paulina Huynh Nhu,80 min @ $18.75,On One,
"Monday, December 1st, 2025",9:00PMPS,Community Class (Ages 13+),Pavel Jordan,90 min @ $18.75,On One,
"Tuesday, December 2nd, 2025",6:10PMPS,BEG/INT Grooves (Ages 13+),Tad Racca,80 min @ $18.75,On One,
"Tuesday, December 2nd, 2025",6:10PMPS,Syndicate Slot (Ages 13+),Titus Lagman,80 min @ $18.75,On One,
"Tuesday, December 2nd, 2025",7:35PMPS,ADV. Choreography (Ages 13+),Marky Dimaano,80 min @ $18.75,On One,
"Wednesday, December 3rd, 2025",6:10PMPS,INT. Choreography (Ages 13+),Kailani Ponti,80 min @ $18.75,On One,
"Wednesday, December 3rd, 2025",7:35PMPS,GROOV3: Hip Hop Workout (Ages 13+),Rhoville Isaac,60 min @ $18.75,On One,
"Wednesday, December 3rd, 2025",8:40PMPS,ADV. Choreography (Ages 13+),Nate Souryasack,80 min @ $18.75,On One,
"Thursday, December 4th, 2025",6:30PMPS,BEG. Choreography (Ages 13+),Monica Chan,90 min @ $18.75,On One,
"Thursday, December 4th, 2025",7:15PMPS,INT/ADV Choreography (Ages 13+),Paulina Huynh Nhu,80 min @ $18.75,On One,
"Friday, December 5th, 2025",6:10PMPS,INT. Choreography (Ages 13+),Kailani Ponti,80 min @ $18.75,On One,
"Friday, December 5th, 2025",7:35PMPS,ADV. Choreography (Ages 13+),Leon Li,80 min @ $18.75,On One,
"Friday, December 5th, 2025",7:35PMPS,KPOP Dance Covers (ages 13+),Max Louangrath,80 min @ $18.75,On One,
"Friday, December 5th, 2025",9:00PMPS,Community Class (Ages 13+),Leon & Yucen Collab,90 min @ $18.75,On One,
"Saturday, December 6th, 2025",11:30AMPS,HOUSE (ages 13+),Josh Reyes,80 min @ $18.75,On One,
"Saturday, December 6th, 2025",12:55PMPS,BEG. Choreography (Ages 13+),Anthony Daste,80 min @ $18.75,On One,
"Sunday, December 7th, 2025",11:30AMPS,YOGA (ages 13+),Stephanie Vuong,80 min @ $18.75,On One,
"Sunday, December 7th, 2025",1:00PMPS,Community Class (Ages 13+),Ashley Servin,90 min @ $18.75,On One,
"Monday, December 1st, 2025",6:45PMPS,House,Flower Boogie,90 min @ $30.00,Young Reach,
"Tuesday, December 2nd, 2025",6:45PMPS,Starter JazzFunk (Foundations),Junlin F,90 min @ $30.00,Young Reach,
"Tuesday, December 2nd, 2025",8:30PMPS,K-Pop | GIRLSET - 'Little Miss',Junlin F,90 min @ $30.00,Young Reach,
"Wednesday, December 3rd, 2025",6:45PMPS,BEG JazzFunk Choreo | 'Shotty',Junlin F,90 min @ $30.00,Young Reach,
"Wednesday, December 3rd, 2025",8:30PMPS,Soul Dance ⚠️Sunnyvale Studio,Flower Boogie,90 min @ $30.00,Young Reach,
"Thursday, December 4th, 2025",6:45PMPS,BEG/INT Choreo,Larry Li,90 min @ $30.00,Young Reach,
"Thursday, December 4th, 2025",8:30PMPS,INT JazzFunk Choreo | 'Revolving door',Snow S,90 min @ $30.00,Young Reach,
"Friday, December 5th, 2025",6:45PMPS,BEG JazzFunk Choreo | 'Afterbody',Junlin F,90 min @ $30.00,Young Reach,
